year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
2,SEA,Seattle Storm,0.31,10.0,22.0,32.0,1921.0,2048.0,-127.0,0.31,0.31,0.19,,,,,6.0,0.12
3,SEA,Seattle Storm,0.53,17.0,15.0,32.0,2188.0,2103.0,85.0,0.62,0.44,0.31,,,,,10.0,0.22
4,SEA,Seattle Storm,0.53,18.0,16.0,34.0,2388.0,2274.0,114.0,0.76,0.29,0.53,,,,,17.0,-0.0
5,SEA,Seattle Storm,0.59,20.0,14.0,34.0,2437.0,2264.0,173.0,0.76,0.41,0.53,,,,,18.0,0.06
6,SEA,Seattle Storm,0.59,20.0,14.0,34.0,2498.0,2407.0,91.0,0.82,0.35,0.59,,,,,20.0,0.0
7,SEA,Seattle Storm,0.53,18.0,16.0,34.0,2644.0,2575.0,69.0,0.53,0.53,0.59,,,,,20.0,-0.06
8,SEA,Seattle Storm,0.5,17.0,17.0,34.0,2734.0,2647.0,87.0,0.71,0.29,0.53,,,,,18.0,-0.03
9,SEA,Seattle Storm,0.65,22.0,12.0,34.0,2493.0,2406.0,87.0,0.94,0.35,0.5,,,,,17.0,0.15
10,SEA,Seattle Storm,0.59,20.0,14.0,34.0,2544.0,2476.0,68.0,0.76,0.41,0.65,,,,,22.0,-0.06
1,UTA,Utah Starzz,0.56,18.0,14.0,32.0,2413.0,2407.0,6.0,0.75,0.38,,,,,,,
2,UTA,Utah Starzz,0.59,19.0,13.0,32.0,2207.0,2192.0,15.0,0.56,0.62,0.56,,,,,18.0,0.03
3,UTA,Utah Starzz,0.62,20.0,12.0,32.0,2418.0,2344.0,74.0,0.75,0.5,0.59,,,,,19.0,0.03
1,WAS,Washington Mystics,0.44,14.0,18.0,32.0,2176.0,2221.0,-45.0,0.44,0.44,,,,,,,
2,WAS,Washington Mystics,0.31,10.0,22.0,32.0,1928.0,2075.0,-147.0,0.5,0.12,0.44,,,,,14.0,-0.12
3,WAS,Washington Mystics,0.53,17.0,15.0,32.0,2135.0,2116.0,19.0,0.56,0.5,0.31,,,,,10.0,0.22
4,WAS,Washington Mystics,0.26,9.0,25.0,34.0,2330.0,2498.0,-168.0,0.18,0.35,0.53,,,,,17.0,-0.27
5,WAS,Washington Mystics,0.5,17.0,17.0,34.0,2325.0,2384.0,-59.0,0.65,0.35,0.26,,,,,9.0,0.24
6,WAS,Washington Mystics,0.47,16.0,18.0,34.0,2263.0,2305.0,-42.0,0.59,0.35,0.5,,,,,17.0,-0.03
7,WAS,Washington Mystics,0.53,18.0,16.0,34.0,2747.0,2657.0,90.0,0.76,0.29,0.47,,,,,16.0,0.06
8,WAS,Washington Mystics,0.47,16.0,18.0,34.0,2585.0,2639.0,-54.0,0.47,0.47,0.53,,,,,18.0,-0.06
9,WAS,Washington Mystics,0.29,10.0,24.0,34.0,2368.0,2601.0,-233.0,0.35,0.24,0.47,,,,,16.0,-0.18
10,WAS,Washington Mystics,0.47,16.0,18.0,34.0,2585.0,2622.0,-37.0,0.65,0.29,0.29,,,,,10.0,0.18
